charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
B;10;10;2;20;0.5;2032;1611270.453;7462.300839;45519.03512;1061038.094;-1004.950219;51606.85146;22372.03883;59586.9424;417671.4764;23708.16;12952.39882;4208.654876;10359.21668;9124.545015;0;1120.062534;491;0.982578062;0.982578062;19483.7617;75.9;ok
B;10;10;2;20;0.5;2033;1667237.325;7976.375124;40294.90808;1102982.45;-905.3936175;26857.62382;22999.26163;79474.84116;435828.5421;16256.77;14828.74543;2247.891162;10831.82745;9523.872146;0;563.0764324;513;18.65415146;0.981797445;20355.6996;64.4;ok
B;10;10;2;20;0.5;2034;1519458.843;7685.628943;41954.68891;992845.8225;-1038.581559;55139.93754;33036.26509;52244.63311;387230.7661;19281.22;13693.6183;3294.944845;10676.38668;9403.657371;0;811.1253557;506;0.982045823;0.982045823;20080.04405;71.8;ok
B;10;10;2;20;0.75;2027;1945882.561;8343.756229;53960.4507;828399.8893;-1364.4853;307782.1348;24535.12999;424920.069;361609.8231;36618.73;10003.31789;7567.4259;8696.22817;7661.097027;0;4861.653228;411;0.985416667;0.985416667;16357.3252;134.1;ok
B;10;10;2;20;0.75;2028;1840381.583;11844.80316;35082.42586;1065408.019;-987.2883909;81568.89509;20823.38468;237996.7649;435571.8081;10821.03;14626.16896;2868.670826;11299.23062;9951.759171;0;1297.655824;536;0.980981346;0.980981346;21250.98979;115.7;ok
B;10;10;2;20;0.75;2029;1561986.52;10214.83342;47977.38574;942992.1087;-881.3480459;59271.18952;19214.90093;120982.4423;420407.2268;27009.05;12242.49052;5171.21678;10159.14707;8948.484688;0;2854.029406;481;0.982932887;0.982932887;19107.63176;83;ok
B;10;10;2;20;0.75;2030;1521827.333;10960.60989;47340.09775;972156.9254;-635.1841339;48070.9605;22081.06301;50070.66729;430082.9004;25035.85;12947.6527;4371.091922;10968.87448;9644.46556;0;2042.642612;520;18.64943228;0.981549067;20613.34004;73.1;ok
B;10;10;2;20;0.75;2031;1532730.839;10395.28555;50325.86735;970250.8901;-669.2641253;40980.33304;26791.00129;35825.94777;459551.9308;29098.24;11944.82319;5280.220586;10869.47623;9573.580588;0;2542.950691;515;0.98172648;0.98172648;20443.05681;66;ok
B;10;10;2;20;0.75;2032;1495214.443;10714.17571;45492.17191;945838.1726;-1002.171031;50029.60452;22046.32176;60401.82704;417900.6878;23708.16;12918.80331;4236.513157;10355.19412;9121.005424;0;2159.369346;491;0.982578062;0.982578062;19476.19954;65.5;ok
B;10;10;2;20;0.75;2033;1550253.681;11690.11423;40282.80091;984710.3319;-849.4030091;26800.1769;22913.42464;80298.34179;436380.8089;16256.77;14808.23313;2267.245967;10832.61028;9524.559923;0;1119.063109;513;18.65415146;0.981797445;20357.1702;69;ok
B;10;10;2;20;0.75;2034;1421184.311;11122.3448;41921.55263;890887.7307;-938.9336504;55086.61262;33154.62193;53600.67387;389393.6054;19281.22;13651.43411;3339.723675;10681.36549;9408.044339;0;1623.006647;506;0.982045823;0.982045823;20089.40982;73.9;ok
B;10;10;2;20;1;2027;1858936.559;10870.36546;54512.73812;731714.3646;-998.1074034;290705.9721;28013.71119;450003.5561;359497.0621;36618.73;10650.36197;6918.238693;8625.242419;7598.632792;0;6755.013129;408;0.985523114;0.985523114;16223.87521;128.1;ok
B;10;10;2;20;1;2028;1731373.98;15512.18712;35836.47366;948777.4159;-972.4326181;71504.96016;22237.34716;254635.135;435191.5548;10821.03;15443.81721;2045.420324;11262.85991;9919.758786;0;2013.307065;534;0.981052311;0.981052311;21182.6187;109.7;ok
B;10;10;2;20;1;2029;1492645.667;13277.00726;48813.37934;871876.5434;-1121.164823;57581.32699;22278.86537;124847.7274;417182.3686;27009.05;13213.80948;4158.274078;10060.38168;8861.572072;0;4147.786718;477;0.983074818;0.983074818;18921.95376;86.7;ok
B;10;10;2;20;1;2030;1464945.169;14199.17155;48425.28821;913774.1521;-826.5001386;53269.56071;25215.81101;50583.29765;422928.8474;25035.85;14125.82984;3157.338109;10960.24839;9636.863226;0;3138.498453;519;18.65010645;0.98158455;20597.11161;71.4;ok
B;10;10;2;20;1;2031;1465878.933;13382.86889;51515.99286;909514.6895;-897.8383209;41575.24299;30375.63358;33246.14558;452065.06;29098.24;13241.0635;3971.920825;10815.99984;9526.521437;0;3868.112768;513;0.981797445;0.981797445;20342.52127;58.3;ok
B;10;10;2;20;1;2032;1422693.958;13947.51488;46375.88741;874423.2324;-1082.86884;52086.72003;24927.70675;57968.75576;414370.4123;23708.16;13882.6792;3264.080037;10332.39452;9100.94164;0;3219.190394;490;0.982613544;0.982613544;19433.33616;61.8;ok
B;10;10;2;20;1;2033;1453231.883;15394.78897;40799.22787;886597.3356;-901.2875461;27517.38822;24423.91679;80493.08455;435101.4453;16256.77;15372.71926;1703.13164;10829.70664;9522.005592;0;1686.121375;513;18.65415146;0.981797445;20351.71223;72.6;ok
B;10;10;2;20;1;2034;1364539.328;14537.71109;42732.21683;835380.3468;-1175.277457;56056.41984;35253.6085;54330.69996;384693.5301;19281.22;14519.01206;2471.385899;10669.19277;9397.331821;0;2455.973779;506;0.982045823;0.982045823;20066.5246;76.5;ok
B;10;10;4;40;0;2027;3414432.337;28.42158099;60022.38656;1849551.55;-3428.941893;390631.2989;83791.23222;550018.5515;543868.646;36618.73;10274.72334;7262.77741;16022.78506;14116.91725;0;0;379;1.973104217;0.986552109;30139.70231;81.3;ok
B;10;10;4;40;0;2028;3467138.368;33.77763253;43547.31978;2349977.165;-3999.924432;115954.681;80847.72604;293307.1102;631051.6099;10821.03;14476.38767;2958.086195;22215.7176;19566.71065;0;0;527;1.962601379;0.981300689;41782.42825;69.3;ok
