charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
C;2;2;2;4;0.75;2036;543583.5893;31673.29577;42131.61856;539722.6262;7.28E-13;3247.330506;613.6325373;0;0;38674.0363;3026.026709;237.5656851;494.1367936;436.528928;392.9295179;935.0539853;116;0.199176805;0.995884023;930.6657218;125.5;ok
C;2;2;2;4;0.75;2037;223159.0051;13021.91048;17371.30954;221098.341;0;1753.396547;307.2676025;0;0;14012.09741;3336.739488;0.664409053;26.79477054;25.26794775;16.2229964;25.15376962;6;0.199957421;0.999787105;52.0627183;111.9;ok
C;2;2;2;4;0.75;2038;396358.5906;29481.1783;39179.0125;392831.1732;3.43E-14;3253.683136;273.7343316;0;0;35850.34367;2780.728529;436.094792;624.665273;551.3939899;510.2528006;2153.601049;147;0.198956813;0.994784063;1176.059263;122.3;ok
C;2;2;2;4;0.75;2039;157826.8255;10555.67798;14065.21889;156584.3903;5.63E-10;1110.003037;132.4321721;0;0;10733.44302;3268.086872;30.16898685;71.40954372;64.52894815;55.08578829;163.4267269;16;0.199886456;0.999432279;135.9384919;119;ok
C;2;2;2;4;0.75;2040;310889.8261;22512.5178;29942.37735;309908.7252;0;929.8812724;51.21959685;0;0;26618.88333;3061.096656;193.2756974;296.7060535;262.7898767;253.0716907;861.1247371;70;0.199503244;0.997516221;559.4959302;113;ok
C;2;2;2;4;0.75;2041;347120.377;21153.62571;28176.34269;347015.1795;0;62.71278262;42.48467402;0;0;24823.99548;3216.209694;53.43962807;153.2059943;136.5098246;141.3386332;397.9818016;36;0.199744526;0.998722628;289.7158189;119.9;ok
C;2;2;2;4;0.75;2042;315794.5489;24177.46371;32217.60351;314126.5032;0;1626.189161;41.85651623;0;0;28921.41356;3163.089887;79.71227366;150.6378029;134.2498162;128.3308647;328.4706115;35;0.199751622;0.99875811;284.8876191;136.4;ok
C;2;2;2;4;0.75;2043;289302.577;20067.09191;26692.70337;288581.6572;0;650.3998565;70.52;0;0;23399.04404;3079.305156;136.5791465;242.2336567;214.8541676;209.3344056;629.2132557;57;0.199595499;0.997977494;457.0878243;127.6;ok
C;2;2;2;4;0.75;2044;266439.737;14545.71102;19353.6422;266168.53;0;271.207021;0;0;0;16048.69053;3170.314468;47.72052118;151.0780123;134.6372005;136.5733653;366.3662076;35;0.199751622;0.99875811;285.7152128;113.1;ok
C;2;2;2;4;1;2035;4003.410886;36290.30602;36336.47254;3759.127845;0;244.2830403;0;0;0;33337.55097;2896.55784;455.0915867;114.4036145;102.3637305;84.34483032;1282.22219;27;0.199808394;0.999041971;216.767345;97.4;ok
C;2;2;2;4;1;2036;9360.545045;42100.51205;42193.74658;7806.193825;0;1335.334784;219.0164356;0;0;39236.89584;2811.091731;519.90253;165.3070207;147.1587279;131.5016116;1377.287617;39;0.199723236;0.99861618;312.4657485;94.2;ok
C;2;2;2;4;1;2037;1855.673645;17362.95678;17374.07138;1438.961014;0;233.7053906;183.0072407;0;0;14028.41079;3334.545983;10.71265949;11.88546737;12.14776096;9.168438174;33.1288954;3;0.19997871;0.999893552;24.03322833;94.2;ok
C;2;2;2;4;1;2038;9612.385701;39140.11525;39235.23657;8415.519254;0;908.7454794;288.1209677;0;0;36413.63204;2551.149864;727.4183826;308.2180125;272.9204007;255.5504658;3039.590543;72;0.199489051;0.997445255;581.1384133;96.9;ok
C;2;2;2;4;1;2039;2555.829902;14057.91926;14077.66286;2444.117402;0;111.7125;0;0;0;10812.37256;3239.134708;69.81414347;27.8034577;26.15559245;22.17269487;236.2203512;6;0.199957421;0.999787105;53.95905015;95.1;ok
C;2;2;2;4;1;2040;3437.515088;29932.5128;29976.45051;2396.247659;0;960.8962327;80.37119685;0;0;26946.07126;2934.410062;345.2606551;108.1626798;96.87170788;89.82668051;1232.34392;25;0.199822587;0.999112936;205.0343877;99.8;ok
C;2;2;2;4;1;2041;2724.059245;28163.4638;28196.03404;2358.203934;0;313.7595558;52.09575544;0;0;24995.31533;3131.301805;137.675886;77.77821431;70.13337827;65.2392223;572.0128793;18;0.199872263;0.999361314;147.9115926;95.3;ok
C;2;2;2;4;1;2042;3964.033175;32198.57955;32242.45832;2709.081912;0.19805;1122.659853;132.0933599;0;0;29065.85918;3108.249801;138.2166205;77.43418216;69.83062997;58.79150397;475.9995503;18;0.199872263;0.999361314;147.2648121;96.1;ok
