charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
A;2;2;2;4;0;2034;200764.2759;0;22084.995;173396.3529;110.2918436;15449.24729;11808.38383;0;0;19281.22;1716.984537;227.1051858;1454.611997;1281.744185;0;0;344;0.1975588;0.987793998;2736.356182;38.2;ok
A;2;2;2;4;0.25;2027;240572.0471;636.5128976;39262.73752;96301.26547;0.016742466;141249.726;3021.038844;0;0;36618.73;2495.038976;824.3702121;200.6623205;178.2701934;0;243.5049796;47;0.199666464;0.99833232;378.9325139;47.4;ok
A;2;2;2;4;0.25;2028;168641.0292;806.6015053;14215.66121;108920.4862;0;57386.06064;2334.482335;0;0;10821.03;3224.037502;62.97225619;215.4613926;191.2942157;0;69.01628248;50;0.199645174;0.998225872;406.7556084;48.4;ok
A;2;2;2;4;0.25;2029;131664.1778;733.9898862;30082.18014;98464.18924;0;30843.88461;2356.10399;0;0;27009.05;2912.84388;371.0916616;201.0232538;178.5881742;0;137.2498126;47;0.199666464;0.99833232;379.611428;47.8;ok
A;2;2;2;4;0.25;2030;127383.3889;774.1254291;28324.42627;108229.4984;0;17081.32305;2072.567397;0;0;25035.85;3093.007935;132.4234436;242.1026226;211.3680051;0;92.75807117;56;3.792449311;0.998012976;453.4706277;45.3;ok
A;2;2;2;4;0.25;2031;135916.5187;783.8628284;32373.19338;121514.2565;0;12626.25359;1776.00869;0;0;29098.24;3119.347634;138.809569;192.0391283;170.6828959;0;78.68625441;45;0.199680657;0.998403285;362.7220242;46.9;ok
A;2;2;2;4;0.25;2032;120051.4339;741.5930825;26835.31053;103325.9833;0;14845.44951;1880.001067;0;0;23708.16;2963.947424;270.4896183;198.5083071;176.3756203;0;116.6432548;46;0.19967356;0.998367802;374.8839274;45.9;ok
A;2;2;2;4;0.25;2033;116360.5742;773.8102026;19496.11645;102218.4722;0;12064.32173;2077.780189;0;0;16256.77;3094.794116;136.7023292;184.2841777;160.4865594;0;80.13495307;43;3.794202149;0.99847425;344.7707371;47.1;ok
A;2;2;2;4;0.25;2034;112346.783;759.8877252;22467.83531;91634.44888;0;18502.07517;2210.258944;0;0;19281.22;3035.854835;172.4155176;190.4313671;169.2681527;0;89.7877047;44;0.199687753;0.998438767;359.6995199;45.5;ok
A;2;2;2;4;0.5;2027;211217.2445;1271.186158;39275.34617;68820.34207;0;139767.8543;2629.04814;0;0;36618.73;2512.229462;814.8607235;192.981323;171.5111619;0;488.8495966;45;0.199680657;0.998403285;364.4924849;50.2;ok
