charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
D;0;2;2;4;0.25;2042;1108919.12;7332.404752;30888.32179;1016730.227;-249.2685613;11925.7241;5822.73205;11431.99209;63257.71334;28974.02661;0;0;2305.882412;2030.86144;20.35673015;20.01721318;547;0.196118208;0.980591038;4336.743851;57.3;ok
D;0;2;2;4;0.25;2043;1016904.379;6046.50499;25455.08735;935974.7959;-195.7838694;7721.484373;4327.702127;6415.166053;62661.01474;23502.21742;0;0;2305.662355;2030.668755;8.334739564;40.21798436;547;0.196118208;0.980591038;4336.33111;56;ok
D;0;2;2;4;0.25;2044;971498.424;4134.263885;18083.41997;879244.251;-178.1528323;6422.833771;3852.431504;11301.15437;70855.9062;16129.06328;0;0;2306.713312;2031.59496;7.673110266;28.29361528;547;0.196118208;0.980591038;4338.308273;57.2;ok
D;0;2;2;4;0.5;2035;1133706.442;16877.80099;35072.05579;1027825.707;-210.9815114;7281.989872;3682.597384;5878.900443;89248.22895;33087.1805;0;0;2306.356701;2031.282461;42.98652595;217.6090135;547;0.196118208;0.980591038;4337.639162;58.9;ok
D;0;2;2;4;0.5;2036;1278060.03;19847.87611;40889.07026;1173314.406;-233.8393296;6841.106006;3779.979118;11363.32155;82995.05696;38908.24833;0;0;2306.296062;2031.227596;27.81633112;208.6238904;547;0.196118208;0.980591038;4337.523658;57.8;ok
D;0;2;2;4;0.5;2037;679249.8667;7019.010804;15976.65659;567118.2017;-244.266091;5153.022716;4381.051025;18492.34046;84349.51692;14012.46062;0;0;2306.713172;2031.5951;3.801832412;5.484195773;547;0.196118208;0.980591038;4338.308273;57;ok
D;0;2;2;4;0.5;2038;977254.649;18568.96283;38041.03287;870971.6523;-191.4544838;9998.969642;4156.860823;13116.29713;79202.32364;36073.40638;0;0;2306.713188;2031.595085;43.18617244;855.2721721;547;0.196118208;0.980591038;4338.308273;69.3;ok
D;0;2;2;4;0.5;2039;516728.0087;5437.323076;12693.17623;422971.3124;-260.4970595;9179.104001;5576.031289;7194.11868;72067.93944;10760.91669;0;0;2306.714459;2031.593813;2.32577299;51.61442555;547;0.196118208;0.980591038;4338.308273;60.5;ok
D;0;2;2;4;0.5;2040;828830.4935;13630.26501;28705.43056;726749.5498;-240.1214715;5969.222777;5085.80093;14666.06367;76599.97781;26741.43471;0;0;2306.712685;2031.595588;18.41956695;304.0775383;547;0.196118208;0.980591038;4338.308273;57;ok
D;0;2;2;4;0.5;2041;898935.7194;12581.9159;26832.89412;803179.6154;-231.1434982;6573.8519;6083.270269;10428.77874;72901.34666;24895.06187;0;0;2306.713794;2031.594478;10.15972287;145.0640953;547;0.196118208;0.980591038;4338.308273;51.8;ok
D;0;2;2;4;0.5;2042;816606.2834;14608.94219;30878.87118;724037.9023;-245.0385552;11559.4773;5452.188589;11882.09441;63919.65935;28955.95948;0;0;2306.714506;2031.593767;15.42425597;95.79281334;547;0.196118208;0.980591038;4338.308273;60.9;ok
D;0;2;2;4;0.5;2043;748657.2959;11955.10626;25447.16046;667112.9565;-211.2000968;8019.928707;4311.210473;6772.20242;62652.19794;23492.83635;0;0;2306.372364;2031.292675;8.163614043;218.038738;547;0.196118208;0.980591038;4337.66504;53.7;ok
D;0;2;2;4;0.5;2044;724826.9371;8192.584457;18074.23599;633031.0588;-205.917695;6267.192386;3914.377307;11139.3183;70680.90798;16120.49112;0;0;2306.713878;2031.594395;8.276310535;132.5305435;547;0.196118208;0.980591038;4338.308273;59.1;ok
D;0;2;2;4;0.75;2035;704777.2953;25157.43442;35067.1495;597902.0709;-201.9113081;7365.726689;3442.79507;6030.641329;90237.97268;33078.5583;0;0;2306.481435;2031.392241;40.48570933;485.6805777;547;0.196118208;0.980591038;4337.873676;62.9;ok
D;0;2;2;4;0.75;2036;768368.2343;29589.84665;40861.36807;660933.8882;-205.9421509;7142.68325;3484.99088;11799.58481;85213.02922;38874.57987;0;0;2306.713248;2031.595025;23.10596727;494.9033548;547;0.196118208;0.980591038;4338.308273;66.4;ok
D;0;2;2;4;0.75;2037;487103.9584;10524.01885;15974.92647;374697.4529;-227.1879309;5036.119405;4026.303854;18497.8558;85073.41438;14009.26188;0;0;2306.713164;2031.595108;5.55538321;12.0636517;547;0.196118208;0.980591038;4338.308273;60.5;ok
